sim,year,species_code,ess,value,in_out
5,2014,30420,ess_m,225.71184296902197,in
5,2016,30420,ess_m,177.75982986504684,in
5,2018,30420,ess_m,607.7579426669374,in
5,2014,10110,ess_t,1005.3736125462598,in
5,2016,10110,ess_t,1865.773922442613,in
5,2018,10110,ess_t,2066.238378388847,in
5,2014,10130,ess_t,986.0045666778327,in
5,2016,10130,ess_t,1380.1909225028523,in
5,2018,10130,ess_t,1210.773451999002,in
5,2014,21720,ess_t,881.7711742805761,in
5,2016,21720,ess_t,1660.7349076616158,in
5,2018,21720,ess_t,1482.1432936647516,in
5,2014,21740,ess_t,801.5314940838698,in
5,2016,21740,ess_t,79.51781701887975,in
5,2018,21740,ess_t,116.35483694248772,in
5,2014,21921,ess_t,107.98253305680012,in
5,2016,21921,ess_t,41.69850809379264,in
5,2018,21921,ess_t,337.9493199148048,in
5,2014,30020,ess_t,293.13903525196383,in
5,2016,30020,ess_t,494.4005389270338,in
5,2018,30020,ess_t,268.55065047954247,in
5,2014,30060,ess_t,169.59938006970415,in
5,2016,30060,ess_t,1545.8939365741464,in
5,2018,30060,ess_t,1495.6335329029669,in
5,2014,30420,ess_t,717.6823430985409,in
5,2016,30420,ess_t,283.5508976034009,in
5,2018,30420,ess_t,584.7967437649233,in
6,2014,10110,ess_f,1179.3393223817475,in
6,2016,10110,ess_f,915.8078175081755,in
6,2018,10110,ess_f,1220.9382921863398,in
6,2014,10130,ess_f,715.504693889395,in
6,2016,10130,ess_f,461.0149787553205,in
6,2018,10130,ess_f,451.68935241754434,in
6,2014,21720,ess_f,462.76192052988245,in
6,2016,21720,ess_f,948.3567603871327,in
6,2018,21720,ess_f,957.9506277639587,in
6,2014,21740,ess_f,479.1738979985771,in
6,2016,21740,ess_f,47.11615432332293,in
6,2018,21740,ess_f,704.1188812642238,in
6,2014,21921,ess_f,194.71755015425893,in
6,2016,21921,ess_f,149.5941326730628,in
6,2018,21921,ess_f,708.3395908805327,in
6,2014,30020,ess_f,276.3014454747862,in
6,2016,30020,ess_f,33.97307001737862,in
6,2018,30020,ess_f,36.509703774565494,in
6,2014,30060,ess_f,119.08555334617735,in
6,2016,30060,ess_f,712.4664077462292,in
6,2018,30060,ess_f,189.33594937491162,in
6,2014,30420,ess_f,436.0405431156018,in
6,2016,30420,ess_f,339.561400658963,in
6,2018,30420,ess_f,198.83441478996085,in
6,2014,10110,ess_m,821.1481866256078,in
6,2016,10110,ess_m,265.28081157496126,in
6,2018,10110,ess_m,526.6357142705057,in
6,2014,10130,ess_m,1324.0880870754318,in
6,2016,10130,ess_m,417.0531312834474,in
6,2018,10130,ess_m,196.0222697760476,in
6,2014,21720,ess_m,460.32304263383173,in
6,2016,21720,ess_m,632.073599572803,in
6,2018,21720,ess_m,754.6756336311331,in
6,2014,21740,ess_m,222.71065156301302,in
6,2016,21740,ess_m,26.4581300695007,in
6,2018,21740,ess_m,350.36948985735074,in
6,2014,21921,ess_m,239.65459124270137,in
6,2016,21921,ess_m,257.10922926702864,in
6,2018,21921,ess_m,266.8664629005368,in
6,2014,30020,ess_m,209.04812184751725,in
6,2016,30020,ess_m,42.97390748623236,in
6,2018,30020,ess_m,41.5775148563803,in
6,2014,30060,ess_m,246.43466748466682,in
6,2016,30060,ess_m,629.9187905888265,in
6,2018,30060,ess_m,1014.1907211986705,in
6,2014,30420,ess_m,257.9975355085599,in
6,2016,30420,ess_m,224.93454982961228,in
6,2018,30420,ess_m,903.2347679377483,in
6,2014,10110,ess_t,1982.5040049960428,in
6,2016,10110,ess_t,619.5576227248798,in
6,2018,10110,ess_t,1582.5685873907205,in
6,2014,10130,ess_t,1620.5112997810918,in
6,2016,10130,ess_t,724.9624730535003,in
6,2018,10130,ess_t,735.0814007657674,in
6,2014,21720,ess_t,1168.1000358598221,in
6,2016,21720,ess_t,1017.3969349550275,in
6,2018,21720,ess_t,1716.0522512904474,in
6,2014,21740,ess_t,333.1304859224964,in
6,2016,21740,ess_t,51.2299551403083,in
6,2018,21740,ess_t,520.2681088250329,in
6,2014,21921,ess_t,92.7300286464015,in
6,2016,21921,ess_t,423.7960044103966,in
6,2018,21921,ess_t,466.6312839299384,in
6,2014,30020,ess_t,561.0123544153737,in
6,2016,30020,ess_t,429.6533237915433,in
6,2018,30020,ess_t,505.1212091625366,in
6,2014,30060,ess_t,132.53059814468287,in
6,2016,30060,ess_t,279.33277092481217,in
6,2018,30060,ess_t,1595.681819749556,in
6,2014,30420,ess_t,1996.18236380345,in
6,2016,30420,ess_t,246.78493143901764,in
6,2018,30420,ess_t,306.8591732618363,in
7,2014,10110,ess_f,1921.722864244946,in
7,2016,10110,ess_f,603.4225741136266,in
7,2018,10110,ess_f,2493.7780638805802,in
7,2014,10130,ess_f,636.6157169129675,in
7,2016,10130,ess_f,280.4377374281033,in
7,2018,10130,ess_f,728.7689399409064,in
7,2014,21720,ess_f,877.0108419690102,in
7,2016,21720,ess_f,410.89805773208974,in
7,2018,21720,ess_f,733.0792624349654,in
7,2014,21740,ess_f,200.8903094922261,in
7,2016,21740,ess_f,301.1450905647417,in
7,2018,21740,ess_f,274.58051579945777,in
